,precision,recall,f1-score,support
0,0.9904761904761905,1.0,0.9952153110047847,104.0
1,0.8888888888888888,0.9696969696969697,0.927536231884058,33.0
2,0.9745762711864406,0.9426229508196722,0.9583333333333334,122.0
3,0.908256880733945,0.9252336448598131,0.9166666666666666,107.0
4,0.9745762711864406,0.9663865546218487,0.970464135021097,119.0
5,0.9416666666666667,0.9186991869918699,0.9300411522633746,123.0
6,0.9880952380952381,1.0,0.9940119760479043,83.0
7,0.9863013698630136,1.0,0.993103448275862,72.0
accuracy,0.9606815203145478,0.9606815203145478,0.9606815203145478,0.9606815203145478
macro avg,0.956604722137103,0.9653299133737716,0.960671531812135,763.0
weighted avg,0.9610089490555217,0.9606815203145478,0.9606786685195482,763.0
