,precision,recall,f1-score,support
0,1.0,0.045454545454545456,0.08695652173913045,44.0
1,0.32673267326732675,0.8048780487804879,0.4647887323943662,41.0
2,0.35,0.2,0.2545454545454545,35.0
3,0.24561403508771928,0.34146341463414637,0.28571428571428575,41.0
4,0.6129032258064516,0.5588235294117647,0.5846153846153845,34.0
5,0.35714285714285715,0.5263157894736842,0.425531914893617,38.0
6,0.46153846153846156,0.18181818181818182,0.26086956521739135,33.0
7,0.5714285714285714,0.38095238095238093,0.4571428571428571,42.0
accuracy,0.37987012987012986,0.37987012987012986,0.37987012987012986,0.37987012987012986
macro avg,0.4906699780339234,0.37996323631564893,0.35252058953281085,308.0
weighted avg,0.4979127354616041,0.37987012987012986,0.3485767308542916,308.0
